pin14,city_owned,street_number,street_dir,street_name,street_type,zoning_classification,ward,residential,sq_ft,zip_code,alderman_hold
16133120150000,t,3129,W,POLK,ST,RT-4,,t,3104,,
16133120130000,t,3133,W,POLK,ST,RT-4,,t,3104,,
16143120280000,t,3638,W,POLK,ST,RT-4,,t,3092,,
16131100200000,t,2921,W,WILCOX,ST,RT-4,,t,2444,,
16131090240000,t,2842,W,WILCOX,ST,RT-4,,t,3102,,
16131090290000,t,2830,W,WILCOX,ST,RT-4,,t,3102,,
16131090330000,t,2820,W,WILCOX,ST,RT-4,,t,3102,,
16132040450000,t,2754,W,WILCOX,ST,RT-4,,t,2261,,
16132080040000,t,2751,W,WILCOX,ST,RT-4,,t,3103,,
16131020380000,t,43,S,WHIPPLE,ST,RT-4,,t,4266,,
16131020140000,t,25,S,WHIPPLE,ST,RT-4,,t,1846,,
16131020130000,t,23,S,WHIPPLE,ST,RT-4,,t,1844,,
16131010260000,t,22,S,WHIPPLE,ST,RT-4,,t,2061,,
16131140320000,t,200,S,WHIPPLE,ST,RT-4,,t,2965,,
16131010250000,t,20,S,WHIPPLE,ST,RT-4,,t,2151,,
16131140300000,t,148,S,WHIPPLE,ST,RT-4,,t,2962,,
16124210640000,t,2759,W,WASHINGTON,BLVD,RT-4,,t,2709,,
16124210650000,t,2759,W,WASHINGTON,BLVD,RT-4,,t,2374,,
16114150210000,t,3251,W,WARREN,BLVD,RM-5,,t,4188,,
16123240220000,t,3146,W,WARREN,BLVD,RM-5,,t,2408,,
16123280090000,t,3133,W,WARREN,BLVD,RM-5,,t,3872,,
16132160080000,t,2741,W,JACKSON,BLVD,RT-4,,t,2804,,
16131210070000,t,2943,W,JACKSON,BLVD,RT-4,,t,3126,,
16131160270000,t,2946,W,JACKSON,BLVD,RT-4,,t,3044,,
16131210050000,t,2947,W,JACKSON,BLVD,RT-4,,t,3126,,
16131210040000,t,2949,W,JACKSON,BLVD,RT-4,,t,3008,,
16142090310000,t,3436,W,JACKSON,BLVD,RM-5,,t,3577,,
16123160040000,t,2819,W,WALNUT,ST,RT-4,,t,3701,,
16123100420000,t,2912,W,WALNUT,ST,RT-4,,t,2997,,
16123130170000,t,3023,W,WALNUT,ST,RT-4,,t,3749,,
16123080480000,t,3106,W,WALNUT,ST,RT-4,,t,2717,,
16123080450000,t,3112,W,WALNUT,ST,RT-4,,t,2714,,
16123080420000,t,3118,W,WALNUT,ST,RT-4,,t,2712,,
16123080410000,t,3120,W,WALNUT,ST,RT-4,,t,2713,,
16123080340000,t,3134,W,WALNUT,ST,RT-4,,t,2490,,
16123100070000,t,2945,W,FULTON,ST,RT-4,,t,3739,,
16123100180000,t,2917,W,FULTON,ST,RT-4,,t,7174,,
16123050080000,t,313,N,WHIPPLE,ST,RT-4,,t,2508,,
16124150800000,t,2656,W,MAYPOLE,AVE,RT-4,,t,2029,,
16124150760000,t,2666,W,MAYPOLE,AVE,RT-4,,t,1979,,
16124150740000,t,2672,W,MAYPOLE,AVE,RT-4,,t,1798,,
16124150730000,t,2674,W,MAYPOLE,AVE,RT-4,,t,1937,,
16123060270000,t,2948,W,FULTON,ST,RT-4,,t,3775,,
16123070050000,t,2848,W,FULTON,ST,RT-4,,t,2889,,
16123070250000,t,2800,W,FULTON,ST,PD684/RT-4,,t,2434,,
16123120190000,t,3124,W,LAKE,ST,RT-4,,t,2241,,
16123190090000,t,3136,W,WASHINGTON,BLVD,RM-5,,t,2582,,
16123120210000,t,3120,W,LAKE,ST,RT-4,,t,2290,,
16123120360000,t,214,N,ALBANY,AVE,RT-4,,t,1795,,
16114030200000,t,3513,W,CARROLL,AVE,RT-4,,t,3786,,
16114010080000,t,3440,W,CARROLL,AVE,RT-4,,t,3990,,
16114080660000,t,3264,W,WALNUT,ST,RT-4,,t,2973,,
16114080650000,t,3300,W,WALNUT,ST,RT-4,,t,2977,,
16114080620000,t,3308,W,WALNUT,ST,RT-4,,t,2977,,
16114110180000,t,3319,W,WALNUT,ST,RT-4,,t,2515,,
16114110100000,t,3337,W,WALNUT,ST,RT-4,,t,1976,,
16114110030000,t,3353,W,WALNUT,ST,RT-4,,t,2433,,
16114100220000,t,3409,W,WALNUT,ST,RT-4,,t,2073,,
16114100130000,t,3431,W,WALNUT,ST,RT-4,,t,2295,,
16114060170000,t,3514,W,WALNUT,ST,RT-4,,t,2057,,
16123220190000,t,2850,W,WASHINGTON,BLVD,RT-4,,t,5172,,
16131210180000,t,331,S,SACRAMENTO,BLVD,RT-4,,t,3251,,
16114120380000,t,3324,W,MAYPOLE,AVE,RM-5,,t,3125,,
16133060030000,t,705,S,SACRAMENTO,BLVD,RT-4,,t,1728,,
16114120530000,t,3234,W,MAYPOLE,AVE,RM-5,,t,3233,,
16133120430000,t,816,S,ALBANY,AVE,RT-4,,t,6080,,
16133160270000,t,906,S,ALBANY,AVE,RT-4,,t,6309,,
16133150320000,t,2830,W,ARTHINGTON,ST,RT-4,,t,3308,,
16133150290000,t,2838,W,ARTHINGTON,ST,RT-4,,t,2379,,
16133180170000,t,2919,W,ARTHINGTON,ST,RT-4,,t,3130,,
16133180160000,t,2921,W,ARTHINGTON,ST,RT-4,,t,3132,,
16133170170000,t,3017,W,ARTHINGTON,ST,RT-4,,t,3136,,
16133070260000,t,2852,W,LEXINGTON,ST,RT-4,,t,3124,,
16133100110000,t,2929,W,LEXINGTON,ST,RT-4,,t,3297,,
16141200260000,t,430,S,CENTRAL PARK,AVE,RS-3,,t,5925,,
16142160210000,t,3544,W,VAN BUREN,ST,RM-5,,t,1865,,
16142160280000,t,3526,W,VAN BUREN,ST,RM-5,,t,1615,,
16142240200000,t,3519,W,VAN BUREN,ST,RM-5,,t,3127,,
16142240220000,t,3515,W,VAN BUREN,ST,RM-5,,t,3124,,
16142200170000,t,326,S,SPAULDING,AVE,RM-5,,t,3280,,
16142210100000,t,3340,W,VAN BUREN,ST,RM-5,,t,3292,,
16143080190000,t,708,S,CENTRAL PARK,AVE,RT-4,,t,3087,,
16133090030000,t,3055,W,LEXINGTON,ST,RT-4,,t,3131,,
16144110140000,t,3221,W,LEXINGTON,ST,RT-4,,t,3140,,
16144070260000,t,3238,W,LEXINGTON,ST,RT-4,,t,3271,,
16144070230000,t,3244,W,LEXINGTON,ST,RT-4,,t,3084,,
16144110050000,t,3245,W,LEXINGTON,ST,RT-4,,t,3012,,
